#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
ATRX	STAG2	9606.ENSP00000362441	9606.ENSP00000218089	0	0	0	0	0.653	0.058	0	0.503	0.823
ATRX	CTCF	9606.ENSP00000362441	9606.ENSP00000264010	0	0	0	0	0.079	0.182	0	0.694	0.750
ATRX	NIPBL	9606.ENSP00000362441	9606.ENSP00000282516	0	0	0	0	0.634	0.153	0	0.429	0.807
ATRX	H2AFZ	9606.ENSP00000362441	9606.ENSP00000296417	0	0	0	0	0.062	0.169	0.600	0.397	0.787
ATRX	EZH2	9606.ENSP00000362441	9606.ENSP00000320147	0	0	0	0	0.062	0.599	0	0.756	0.900
ATRX	SMC1A	9606.ENSP00000362441	9606.ENSP00000323421	0.046	0	0	0	0.107	0.499	0	0.468	0.743
ATRX	HIST2H2AC	9606.ENSP00000362441	9606.ENSP00000332194	0	0	0	0	0.062	0.169	0.600	0.498	0.823
ATRX	SMC3	9606.ENSP00000362441	9606.ENSP00000354720	0.046	0	0	0	0.217	0.345	0	0.503	0.725
ATRX	HIST2H2BE	9606.ENSP00000362441	9606.ENSP00000358151	0	0	0	0	0	0.338	0.600	0.431	0.836
ATRX	MECP2	9606.ENSP00000362441	9606.ENSP00000395535	0	0	0	0	0.062	0.389	0	0.989	0.993
CDKN1B	MYC	9606.ENSP00000228872	9606.ENSP00000479618	0	0	0	0	0	0.400	0	0.692	0.807
CDKN1B	CDKN2A	9606.ENSP00000228872	9606.ENSP00000418915	0	0	0	0	0	0	0.650	0.742	0.905
CDKN1B	CTCF	9606.ENSP00000228872	9606.ENSP00000264010	0	0	0	0	0.062	0.058	0.900	0.203	0.920
CDKN1B	SMAD4	9606.ENSP00000228872	9606.ENSP00000341551	0	0	0	0	0.100	0	0.900	0.469	0.948
CDKN2A	CDKN1B	9606.ENSP00000418915	9606.ENSP00000228872	0	0	0	0	0	0	0.650	0.742	0.905
CDKN2A	CTCF	9606.ENSP00000418915	9606.ENSP00000264010	0	0	0	0	0.062	0.078	0.900	0.576	0.958
CDKN2A	NPM1	9606.ENSP00000418915	9606.ENSP00000296930	0	0	0	0	0	0.891	0	0.989	0.998
CDKN2A	SUZ12	9606.ENSP00000418915	9606.ENSP00000316578	0	0	0	0	0	0.098	0	0.681	0.700
CDKN2A	EZH2	9606.ENSP00000418915	9606.ENSP00000320147	0	0	0	0	0.049	0.093	0	0.705	0.723
