#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
ACTB	SMARCB1	9606.ENSP00000349960	9606.ENSP00000263121	0	0	0	0	0.088	0.324	0.900	0.348	0.954
ACTB	GTF2E1	9606.ENSP00000349960	9606.ENSP00000283875	0	0	0	0	0	0	0.900	0.062	0.902
ACTB	POLR2E	9606.ENSP00000349960	9606.ENSP00000478303	0	0	0	0	0.085	0	0.650	0.169	0.710
ACTB	POLR2F	9606.ENSP00000349960	9606.ENSP00000403852	0	0	0	0	0.058	0	0.650	0.231	0.724
ACTB	GTF2F1	9606.ENSP00000349960	9606.ENSP00000377969	0	0	0	0	0	0	0.900	0.073	0.903
ACTB	GTF2A1	9606.ENSP00000349960	9606.ENSP00000452454	0	0	0	0	0.062	0.077	0.900	0	0.905
ACTB	TBP	9606.ENSP00000349960	9606.ENSP00000375942	0	0	0	0	0	0.117	0.650	0.740	0.912
ACTB	GTF2B	9606.ENSP00000349960	9606.ENSP00000359531	0	0	0	0	0.062	0	0.900	0.403	0.939
ACTB	POLR2A	9606.ENSP00000349960	9606.ENSP00000480158	0	0	0	0	0.062	0.883	0.900	0.571	0.994
ACTB	SMARCA4	9606.ENSP00000349960	9606.ENSP00000395654	0	0	0	0	0.062	0.974	0.900	0.918	0.999
BRCA1	SETX	9606.ENSP00000418960	9606.ENSP00000224140	0	0	0	0	0.064	0.682	0	0.986	0.995
BRCA1	SMARCB1	9606.ENSP00000418960	9606.ENSP00000263121	0	0	0	0	0	0.487	0	0.576	0.773
BRCA1	SMARCA4	9606.ENSP00000418960	9606.ENSP00000395654	0	0	0	0	0.063	0.681	0	0.985	0.995
BRCA1	POLR2A	9606.ENSP00000418960	9606.ENSP00000480158	0	0	0	0	0.062	0.992	0	0.303	0.994
CCNH	POLR2C	9606.ENSP00000256897	9606.ENSP00000219252	0	0	0	0	0.072	0.803	0.600	0.056	0.921
CCNH	POLR2I	9606.ENSP00000256897	9606.ENSP00000221859	0	0	0	0	0.105	0.817	0.600	0.070	0.931
CCNH	SUPT4H1	9606.ENSP00000256897	9606.ENSP00000225504	0	0	0	0	0.109	0	0.600	0.341	0.744
CCNH	CDK7	9606.ENSP00000256897	9606.ENSP00000256443	0	0	0	0	0.195	0.999	0.900	0.995	0.999
CCNH	SUPT5H	9606.ENSP00000256897	9606.ENSP00000470252	0	0	0	0	0.065	0.401	0.600	0.563	0.889
CCNH	CDK8	9606.ENSP00000256897	9606.ENSP00000370938	0	0	0	0	0.063	0.499	0	0.794	0.895
CCNH	CDK12	9606.ENSP00000256897	9606.ENSP00000398880	0	0	0	0	0.065	0.344	0.720	0.611	0.924
CCNH	POLR2K	9606.ENSP00000256897	9606.ENSP00000342889	0	0	0	0	0.073	0.800	0.600	0.129	0.926
CCNH	TCEA1	9606.ENSP00000256897	9606.ENSP00000428426	0	0	0	0	0.069	0.808	0.600	0.116	0.928
CCNH	POLR2J	9606.ENSP00000256897	9606.ENSP00000292614	0	0	0	0	0.107	0.803	0.600	0.101	0.928
CCNH	POLR2L	9606.ENSP00000256897	9606.ENSP00000324124	0	0	0	0	0.082	0.800	0.600	0.137	0.928
CCNH	GTF2A1	9606.ENSP00000256897	9606.ENSP00000452454	0	0	0	0	0.090	0.800	0.600	0.141	0.929
CCNH	GTF2F2	9606.ENSP00000256897	9606.ENSP00000340823	0	0	0	0	0.085	0.800	0.600	0.145	0.929
CCNH	POLR2E	9606.ENSP00000256897	9606.ENSP00000478303	0	0	0	0	0.088	0.800	0.600	0.159	0.930
CCNH	POLR2D	9606.ENSP00000256897	9606.ENSP00000272645	0	0	0	0	0.082	0.800	0.600	0.188	0.932
CCNH	POLR2F	9606.ENSP00000256897	9606.ENSP00000403852	0	0	0	0	0	0.800	0.600	0.274	0.936
CCNH	GTF2A2	9606.ENSP00000256897	9606.ENSP00000379372	0	0	0	0	0.129	0.800	0.600	0.235	0.939
CCNH	GTF2F1	9606.ENSP00000256897	9606.ENSP00000377969	0	0	0	0	0.071	0.800	0.600	0.282	0.939
CCNH	POLR2G	9606.ENSP00000256897	9606.ENSP00000301788	0	0	0	0	0.088	0.800	0.600	0.291	0.941
CCNH	POLR2B	9606.ENSP00000256897	9606.ENSP00000370625	0	0	0	0	0.065	0.847	0.600	0.134	0.944
CCNH	TBP	9606.ENSP00000256897	9606.ENSP00000375942	0	0	0	0	0.082	0.800	0.600	0.342	0.945
CCNH	GTF2B	9606.ENSP00000256897	9606.ENSP00000359531	0	0	0	0	0.107	0.800	0.600	0.574	0.965
CCNH	POLR2A	9606.ENSP00000256897	9606.ENSP00000480158	0	0	0	0	0.068	0.939	0.600	0.657	0.991
CCNH	CDK9	9606.ENSP00000256897	9606.ENSP00000362361	0	0	0	0	0.078	0.436	0.900	0.885	0.993
CCNH	GTF2E1	9606.ENSP00000256897	9606.ENSP00000283875	0	0	0	0	0.108	0.986	0.600	0.427	0.996
CCNH	GTF2E2	9606.ENSP00000256897	9606.ENSP00000348168	0	0	0	0	0.093	0.988	0.600	0.270	0.996
CCNH	ERCC3	9606.ENSP00000256897	9606.ENSP00000285398	0	0	0	0	0.101	0.998	0.900	0.804	0.999
CCNH	MNAT1	9606.ENSP00000256897	9606.ENSP00000261245	0	0	0	0	0.471	0.998	0.900	0.993	0.999
CCNH	GTF2H1	9606.ENSP00000256897	9606.ENSP00000265963	0	0	0	0	0.102	0.998	0.900	0.856	0.999
CDC73	POLR2C	9606.ENSP00000356405	9606.ENSP00000219252	0	0	0	0	0.095	0.842	0.600	0.311	0.955
CDC73	PAF1	9606.ENSP00000356405	9606.ENSP00000221265	0	0	0	0	0.241	0.995	0.900	0.928	0.999
CDC73	POLR2I	9606.ENSP00000356405	9606.ENSP00000221859	0	0	0	0	0.107	0.818	0.600	0.237	0.944
CDC73	SUPT4H1	9606.ENSP00000356405	9606.ENSP00000225504	0	0	0	0	0.097	0.803	0.600	0.808	0.984
CDC73	POLR2D	9606.ENSP00000356405	9606.ENSP00000272645	0	0	0	0	0.065	0.824	0.600	0	0.928
CDC73	POLR2J	9606.ENSP00000356405	9606.ENSP00000292614	0	0	0	0	0.100	0.842	0.600	0.161	0.946
CDC73	LEO1	9606.ENSP00000356405	9606.ENSP00000299601	0	0	0	0	0.204	0.995	0.900	0.994	0.999
CDC73	POLR2G	9606.ENSP00000356405	9606.ENSP00000301788	0	0	0	0	0.200	0.858	0.600	0.309	0.964
CDC73	SUPT6H	9606.ENSP00000356405	9606.ENSP00000319104	0	0	0	0	0.214	0.815	0.600	0.728	0.982
CDC73	POLR2L	9606.ENSP00000356405	9606.ENSP00000324124	0	0	0	0	0.096	0.817	0.600	0.232	0.942
CDC73	GTF2F2	9606.ENSP00000356405	9606.ENSP00000340823	0	0	0	0	0.288	0.184	0.600	0.191	0.787
CDC73	POLR2K	9606.ENSP00000356405	9606.ENSP00000342889	0	0	0	0	0.065	0.818	0.600	0	0.926
CDC73	CTR9	9606.ENSP00000356405	9606.ENSP00000355013	0	0	0	0	0.364	0.995	0.900	0.995	0.999
CDC73	SETD2	9606.ENSP00000356405	9606.ENSP00000386759	0	0	0	0	0.070	0.260	0	0.617	0.713
CDC73	CDK12	9606.ENSP00000356405	9606.ENSP00000398880	0	0	0	0	0.085	0.424	0	0.557	0.746
CDC73	POLR2H	9606.ENSP00000356405	9606.ENSP00000415536	0	0	0	0	0.104	0.133	0.600	0.389	0.785
CDC73	GTF2F1	9606.ENSP00000356405	9606.ENSP00000377969	0	0	0	0	0.202	0.339	0.600	0.114	0.788
CDC73	CTDP1	9606.ENSP00000356405	9606.ENSP00000484525	0	0	0	0	0.139	0.115	0.600	0.422	0.800
CDC73	CDK9	9606.ENSP00000356405	9606.ENSP00000362361	0	0	0	0	0.115	0.447	0.600	0.495	0.887
CDC73	TCEA1	9606.ENSP00000356405	9606.ENSP00000428426	0	0	0	0	0.103	0.362	0.600	0.730	0.929
CDC73	POLR2E	9606.ENSP00000356405	9606.ENSP00000478303	0	0	0	0	0.066	0.816	0.600	0.198	0.937
CDC73	POLR2F	9606.ENSP00000356405	9606.ENSP00000403852	0	0	0	0	0.063	0.818	0.600	0.361	0.950
CDC73	POLR2B	9606.ENSP00000356405	9606.ENSP00000370625	0	0	0	0	0.116	0.880	0.600	0.237	0.963
CDC73	SUPT5H	9606.ENSP00000356405	9606.ENSP00000470252	0	0	0	0	0.145	0.935	0.600	0.834	0.995
CDC73	RTF1	9606.ENSP00000356405	9606.ENSP00000374280	0	0	0	0	0.394	0.984	0.900	0.994	0.999
CDC73	POLR2A	9606.ENSP00000356405	9606.ENSP00000480158	0	0	0	0	0.132	0.989	0.600	0.889	0.999
CDK12	POLR2C	9606.ENSP00000398880	9606.ENSP00000219252	0	0	0	0	0.069	0	0.600	0.467	0.784
CDK12	SUPT4H1	9606.ENSP00000398880	9606.ENSP00000225504	0	0	0	0	0.046	0.151	0.600	0.587	0.848
CDK12	CDK7	9606.ENSP00000398880	9606.ENSP00000256443	0	0	0	0.842	0.070	0.261	0.720	0.830	0.818
CDK12	CCNH	9606.ENSP00000398880	9606.ENSP00000256897	0	0	0	0	0.065	0.344	0.720	0.611	0.924
CDK12	MNAT1	9606.ENSP00000398880	9606.ENSP00000261245	0	0	0	0	0.065	0	0.720	0.147	0.757
CDK12	CDC73	9606.ENSP00000398880	9606.ENSP00000356405	0	0	0	0	0.085	0.424	0	0.557	0.746
CDK12	CDK9	9606.ENSP00000398880	9606.ENSP00000362361	0	0	0	0.905	0.062	0.493	0.720	0.828	0.866
CDK12	SETD2	9606.ENSP00000398880	9606.ENSP00000386759	0	0	0	0	0.187	0.228	0	0.578	0.712
CDK12	TCEA1	9606.ENSP00000398880	9606.ENSP00000428426	0	0	0	0	0	0.091	0.600	0.316	0.729
CDK12	POLR2E	9606.ENSP00000398880	9606.ENSP00000478303	0	0	0	0	0.053	0.056	0.600	0.339	0.732
CDK12	CTDP1	9606.ENSP00000398880	9606.ENSP00000484525	0	0	0	0	0.062	0.102	0.600	0.657	0.869
CDK12	SUPT5H	9606.ENSP00000398880	9606.ENSP00000470252	0	0	0	0	0.170	0.712	0.600	0.760	0.974
CDK12	POLR2A	9606.ENSP00000398880	9606.ENSP00000480158	0	0	0	0	0.070	0.863	0.600	0.710	0.983
CDK7	POLR2C	9606.ENSP00000256443	9606.ENSP00000219252	0	0	0	0	0.089	0.814	0.600	0.472	0.959
CDK7	POLR2I	9606.ENSP00000256443	9606.ENSP00000221859	0	0	0	0	0.074	0.800	0.600	0.129	0.926
CDK7	SUPT4H1	9606.ENSP00000256443	9606.ENSP00000225504	0	0	0	0	0.076	0.104	0.600	0.607	0.852
CDK7	RNGTT	9606.ENSP00000256443	9606.ENSP00000358497	0	0	0	0	0.073	0.152	0.600	0.172	0.705
CDK7	RPRD1B	9606.ENSP00000256443	9606.ENSP00000362532	0	0	0	0	0.085	0	0.600	0.288	0.716
CDK7	SSU72	9606.ENSP00000256443	9606.ENSP00000291386	0	0	0	0	0.099	0.107	0	0.709	0.745
CDK7	CDK12	9606.ENSP00000256443	9606.ENSP00000398880	0	0	0	0.842	0.070	0.261	0.720	0.830	0.818
CDK7	RPAP2	9606.ENSP00000256443	9606.ENSP00000476948	0	0	0	0	0.078	0	0.600	0.722	0.888
CDK7	CTDP1	9606.ENSP00000256443	9606.ENSP00000484525	0	0	0	0	0.066	0.270	0.600	0.697	0.906
CDK7	POLR2L	9606.ENSP00000256443	9606.ENSP00000324124	0	0	0	0	0.086	0.800	0.600	0.063	0.922
CDK7	POLR2K	9606.ENSP00000256443	9606.ENSP00000342889	0	0	0	0	0.077	0.800	0.600	0.113	0.925
CDK7	GTF2A1	9606.ENSP00000256443	9606.ENSP00000452454	0	0	0	0	0.066	0.803	0.600	0.101	0.925
CDK7	CDK8	9606.ENSP00000256443	9606.ENSP00000370938	0	0	0	0.818	0.072	0.149	0.900	0.899	0.928
CDK7	GTF2A2	9606.ENSP00000256443	9606.ENSP00000379372	0	0	0	0	0.109	0.800	0.600	0.155	0.931
CDK7	POLR2E	9606.ENSP00000256443	9606.ENSP00000478303	0	0	0	0	0.170	0.800	0.600	0.158	0.936
CDK7	POLR2J	9606.ENSP00000256443	9606.ENSP00000292614	0	0	0	0	0.130	0.800	0.600	0.208	0.937
CDK7	GTF2F1	9606.ENSP00000256443	9606.ENSP00000377969	0	0	0	0	0.064	0.800	0.600	0.318	0.942
CDK7	GTF2F2	9606.ENSP00000256443	9606.ENSP00000340823	0	0	0	0	0.144	0.803	0.600	0.266	0.943
CDK7	POLR2D	9606.ENSP00000256443	9606.ENSP00000272645	0	0	0	0	0.084	0.813	0.600	0.303	0.945
CDK7	SUPT5H	9606.ENSP00000256443	9606.ENSP00000470252	0	0	0	0	0.042	0.520	0.600	0.766	0.951
CDK7	POLR2F	9606.ENSP00000256443	9606.ENSP00000403852	0	0	0	0	0.066	0.800	0.600	0.459	0.954
