#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
ATR	MSH6	9606.ENSP00000343741	9606.ENSP00000234420	0	0	0	0	0.101	0.518	0	0.606	0.815
ATR	CCNB1	9606.ENSP00000343741	9606.ENSP00000256442	0	0	0	0	0.067	0.379	0	0.547	0.715
ATR	CHTF18	9606.ENSP00000343741	9606.ENSP00000262315	0	0	0	0	0.084	0.395	0	0.799	0.879
ATR	TP53	9606.ENSP00000343741	9606.ENSP00000269305	0	0	0	0	0	0.872	0.900	0.680	0.995
ATR	NSMCE2	9606.ENSP00000343741	9606.ENSP00000287437	0	0	0	0	0.065	0.333	0	0.735	0.820
ATR	CCNB2	9606.ENSP00000343741	9606.ENSP00000288207	0	0	0	0	0.063	0.527	0	0.425	0.723
ATR	RAD21	9606.ENSP00000343741	9606.ENSP00000297338	0	0	0	0	0.081	0.349	0.600	0.361	0.826
ATR	SMC1A	9606.ENSP00000343741	9606.ENSP00000323421	0	0	0	0	0.074	0.316	0.600	0.187	0.766
ATR	CDK1	9606.ENSP00000343741	9606.ENSP00000378699	0	0	0	0	0.063	0.180	0	0.660	0.715
ATR	SMC6	9606.ENSP00000343741	9606.ENSP00000404092	0	0	0	0	0.178	0.213	0	0.683	0.777
ATR	SYCP3	9606.ENSP00000343741	9606.ENSP00000376658	0	0	0	0	0.062	0.273	0.600	0.283	0.778
ATR	REC8	9606.ENSP00000343741	9606.ENSP00000482546	0	0	0	0	0.066	0.256	0.600	0.379	0.804
ATR	SMC3	9606.ENSP00000343741	9606.ENSP00000354720	0	0	0	0	0.161	0.102	0.600	0.460	0.815
ATR	SMC5	9606.ENSP00000343741	9606.ENSP00000354957	0	0	0	0	0.237	0.102	0	0.800	0.851
CCNB1	STAG2	9606.ENSP00000256442	9606.ENSP00000218089	0	0	0	0	0.080	0	0.900	0.166	0.916
CCNB1	NCAPH	9606.ENSP00000256442	9606.ENSP00000240423	0	0	0	0	0.764	0	0.900	0.377	0.984
CCNB1	NCAPG	9606.ENSP00000256442	9606.ENSP00000251496	0	0	0	0	0.868	0	0.900	0.621	0.994
CCNB1	ATR	9606.ENSP00000256442	9606.ENSP00000343741	0	0	0	0	0.067	0.379	0	0.547	0.715
CCNB1	MYC	9606.ENSP00000256442	9606.ENSP00000479618	0	0	0	0	0.096	0.270	0	0.708	0.790
CCNB1	SGOL1	9606.ENSP00000256442	9606.ENSP00000263753	0	0	0	0	0.717	0.057	0	0.393	0.823
CCNB1	TP53	9606.ENSP00000256442	9606.ENSP00000269305	0	0	0	0	0.093	0.059	0	0.826	0.839
CCNB1	ESCO2	9606.ENSP00000256442	9606.ENSP00000306999	0	0	0	0	0.841	0.141	0	0.199	0.881
CCNB1	SGOL2	9606.ENSP00000256442	9606.ENSP00000350447	0	0	0	0	0.851	0	0	0.268	0.886
CCNB1	NCAPH2	9606.ENSP00000256442	9606.ENSP00000299821	0	0	0	0	0.074	0	0.900	0	0.903
CCNB1	WAPAL	9606.ENSP00000256442	9606.ENSP00000298767	0	0	0	0	0.075	0	0.900	0.143	0.913
CCNB1	STAG1	9606.ENSP00000256442	9606.ENSP00000372689	0	0	0	0	0.067	0	0.900	0.149	0.913
CCNB1	PDS5B	9606.ENSP00000256442	9606.ENSP00000313851	0	0	0	0	0.085	0.056	0.900	0.174	0.919
CCNB1	PDS5A	9606.ENSP00000256442	9606.ENSP00000303427	0	0	0	0	0.084	0.056	0.900	0.199	0.921
CCNB1	SMC3	9606.ENSP00000256442	9606.ENSP00000354720	0	0	0	0	0.109	0.069	0.900	0.360	0.939
CCNB1	SMC1A	9606.ENSP00000256442	9606.ENSP00000323421	0	0	0	0	0.124	0.127	0.900	0.332	0.942
CCNB1	RAD21	9606.ENSP00000256442	9606.ENSP00000297338	0	0	0	0	0.105	0.078	0.900	0.505	0.953
CCNB1	H2AFZ	9606.ENSP00000256442	9606.ENSP00000296417	0	0	0	0	0.511	0.090	0.900	0.319	0.965
CCNB1	NCAPD2	9606.ENSP00000256442	9606.ENSP00000325017	0	0	0	0	0.669	0	0.900	0.234	0.972
CCNB1	SMC2	9606.ENSP00000256442	9606.ENSP00000286398	0	0	0	0	0.717	0.060	0.900	0.178	0.975
CCNB1	SMC4	9606.ENSP00000256442	9606.ENSP00000349961	0	0	0	0	0.617	0.060	0.900	0.428	0.976
CCNB1	CDCA5	9606.ENSP00000256442	9606.ENSP00000275517	0	0	0	0	0.744	0	0.900	0.393	0.983
CCNB1	ESPL1	9606.ENSP00000256442	9606.ENSP00000257934	0	0	0	0	0.634	0.582	0	0.976	0.996
CCNB1	CCNB2	9606.ENSP00000256442	9606.ENSP00000288207	0	0	0	0.943	0.955	0.754	0.900	0.856	0.998
CCNB1	PLK1	9606.ENSP00000256442	9606.ENSP00000300093	0	0	0	0	0.936	0.719	0.800	0.898	0.999
CCNB1	CDK1	9606.ENSP00000256442	9606.ENSP00000378699	0	0	0	0	0.968	0.999	0.900	0.995	0.999
CCNB2	STAG2	9606.ENSP00000288207	9606.ENSP00000218089	0	0	0	0	0.063	0	0.900	0.101	0.908
CCNB2	NCAPH	9606.ENSP00000288207	9606.ENSP00000240423	0	0	0	0	0.824	0	0.900	0.380	0.988
CCNB2	NCAPG	9606.ENSP00000288207	9606.ENSP00000251496	0	0	0	0	0.936	0	0.900	0.517	0.996
CCNB2	CCNB1	9606.ENSP00000288207	9606.ENSP00000256442	0	0	0	0.943	0.955	0.754	0.900	0.856	0.998
CCNB2	ESPL1	9606.ENSP00000288207	9606.ENSP00000257934	0	0	0	0	0.915	0.221	0	0.742	0.981
CCNB2	SGOL1	9606.ENSP00000288207	9606.ENSP00000263753	0	0	0	0	0.855	0.057	0	0.272	0.891
CCNB2	CDCA5	9606.ENSP00000288207	9606.ENSP00000275517	0	0	0	0	0.837	0	0.900	0.476	0.990
CCNB2	SMC2	9606.ENSP00000288207	9606.ENSP00000286398	0	0	0	0	0.638	0.060	0.900	0.275	0.972
CCNB2	ATR	9606.ENSP00000288207	9606.ENSP00000343741	0	0	0	0	0.063	0.527	0	0.425	0.723
CCNB2	ESCO2	9606.ENSP00000288207	9606.ENSP00000306999	0	0	0	0	0.692	0.141	0	0.275	0.791
CCNB2	WAPAL	9606.ENSP00000288207	9606.ENSP00000298767	0	0	0	0	0.064	0	0.900	0.065	0.904
CCNB2	STAG1	9606.ENSP00000288207	9606.ENSP00000372689	0	0	0	0	0.063	0	0.900	0.101	0.908
CCNB2	PDS5A	9606.ENSP00000288207	9606.ENSP00000303427	0	0	0	0	0.080	0.141	0.900	0.149	0.923
CCNB2	PDS5B	9606.ENSP00000288207	9606.ENSP00000313851	0	0	0	0	0.080	0.056	0.900	0.229	0.924
CCNB2	SMC3	9606.ENSP00000288207	9606.ENSP00000354720	0	0	0	0	0.110	0.069	0.900	0.248	0.929
CCNB2	SMC1A	9606.ENSP00000288207	9606.ENSP00000323421	0	0	0	0	0.117	0.127	0.900	0.290	0.938
CCNB2	RAD21	9606.ENSP00000288207	9606.ENSP00000297338	0	0	0	0	0.105	0.078	0.900	0.410	0.944
CCNB2	NCAPD2	9606.ENSP00000288207	9606.ENSP00000325017	0	0	0	0	0.642	0	0.900	0.305	0.972
CCNB2	SMC4	9606.ENSP00000288207	9606.ENSP00000349961	0	0	0	0	0.607	0.060	0.900	0.438	0.976
CCNB2	PLK1	9606.ENSP00000288207	9606.ENSP00000300093	0	0	0	0	0.937	0.150	0.800	0.791	0.997
CCNB2	CDK1	9606.ENSP00000288207	9606.ENSP00000378699	0	0	0	0	0.993	0.971	0.900	0.993	0.999
CDCA5	STAG2	9606.ENSP00000275517	9606.ENSP00000218089	0	0	0	0	0	0.873	0.600	0.597	0.977
CDCA5	NCAPH	9606.ENSP00000275517	9606.ENSP00000240423	0	0	0	0	0.758	0	0	0.321	0.828
CDCA5	NCAPG	9606.ENSP00000275517	9606.ENSP00000251496	0	0	0	0	0.797	0	0	0.377	0.868
CDCA5	CCNB1	9606.ENSP00000275517	9606.ENSP00000256442	0	0	0	0	0.744	0	0.900	0.393	0.983
CDCA5	ESPL1	9606.ENSP00000275517	9606.ENSP00000257934	0	0	0	0	0.633	0	0	0.786	0.918
CDCA5	MAU2	9606.ENSP00000275517	9606.ENSP00000262815	0	0	0	0	0.055	0	0	0.806	0.808
CDCA5	SGOL1	9606.ENSP00000275517	9606.ENSP00000263753	0	0	0	0	0.747	0.270	0	0.687	0.937
CDCA5	ESCO1	9606.ENSP00000275517	9606.ENSP00000269214	0	0	0	0	0.159	0	0	0.798	0.823
CDCA5	SGOL2	9606.ENSP00000275517	9606.ENSP00000350447	0	0	0	0	0.371	0	0	0.548	0.703
CDCA5	NIPBL	9606.ENSP00000275517	9606.ENSP00000282516	0	0	0	0	0	0	0	0.717	0.717
CDCA5	STAG1	9606.ENSP00000275517	9606.ENSP00000372689	0	0	0	0	0	0.467	0.600	0.634	0.915
CDCA5	ESCO2	9606.ENSP00000275517	9606.ENSP00000306999	0	0	0	0	0.503	0	0	0.849	0.921
CDCA5	PLK1	9606.ENSP00000275517	9606.ENSP00000300093	0	0	0	0	0.594	0.270	0.600	0.735	0.964
CDCA5	SMC1A	9606.ENSP00000275517	9606.ENSP00000323421	0	0	0	0	0.119	0.882	0.600	0.539	0.978
CDCA5	PDS5B	9606.ENSP00000275517	9606.ENSP00000313851	0	0	0	0	0.054	0.811	0.600	0.754	0.980
CDCA5	RAD21	9606.ENSP00000275517	9606.ENSP00000297338	0	0	0	0	0.069	0.871	0.600	0.702	0.983
CDCA5	WAPAL	9606.ENSP00000275517	9606.ENSP00000298767	0	0	0	0	0	0.494	0.800	0.903	0.989
CDCA5	CCNB2	9606.ENSP00000275517	9606.ENSP00000288207	0	0	0	0	0.837	0	0.900	0.476	0.990
CDCA5	CDK1	9606.ENSP00000275517	9606.ENSP00000378699	0	0	0	0	0.760	0.270	0.900	0.541	0.990
CDCA5	SMC3	9606.ENSP00000275517	9606.ENSP00000354720	0	0	0	0	0.098	0.872	0.600	0.917	0.995
CDCA5	PDS5A	9606.ENSP00000275517	9606.ENSP00000303427	0	0	0	0	0.062	0.867	0.600	0.982	0.999
CDK1	STAG2	9606.ENSP00000378699	9606.ENSP00000218089	0	0	0	0	0.062	0	0.900	0.243	0.922
CDK1	NCAPH	9606.ENSP00000378699	9606.ENSP00000240423	0	0	0	0	0.746	0.270	0.900	0.425	0.987
CDK1	NCAPG	9606.ENSP00000378699	9606.ENSP00000251496	0	0	0	0	0.992	0.281	0.900	0.538	0.999
CDK1	CCNB1	9606.ENSP00000378699	9606.ENSP00000256442	0	0	0	0	0.968	0.999	0.900	0.995	0.999
CDK1	ESPL1	9606.ENSP00000378699	9606.ENSP00000257934	0	0	0	0	0.665	0.159	0	0.975	0.992
