#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
ACTB	INO80B	9606.ENSP00000349960	9606.ENSP00000233331	0	0	0	0	0	0	0.800	0	0.800
ACTB	ACTR5	9606.ENSP00000349960	9606.ENSP00000243903	0	0	0	0.648	0.057	0.292	0.800	0.245	0.865
ACTB	MDM2	9606.ENSP00000349960	9606.ENSP00000258149	0	0	0	0	0	0.270	0	0.688	0.762
ACTB	POU5F1	9606.ENSP00000349960	9606.ENSP00000259915	0	0	0	0	0	0.062	0	0.714	0.720
ACTB	YY1	9606.ENSP00000349960	9606.ENSP00000262238	0	0	0	0	0.062	0.318	0.800	0.575	0.938
ACTB	CREBBP	9606.ENSP00000349960	9606.ENSP00000262367	0	0	0	0	0	0.161	0.900	0.435	0.948
ACTB	EP300	9606.ENSP00000349960	9606.ENSP00000263253	0	0	0	0	0	0.239	0.650	0.521	0.861
ACTB	KAT2B	9606.ENSP00000349960	9606.ENSP00000263754	0	0	0	0	0.052	0.361	0.900	0.386	0.957
ACTB	PPARGC1A	9606.ENSP00000349960	9606.ENSP00000264867	0	0	0	0	0	0	0	0.712	0.712
ACTB	TP53	9606.ENSP00000349960	9606.ENSP00000269305	0	0	0	0	0.062	0.128	0	0.881	0.894
ACTB	ERBB2	9606.ENSP00000349960	9606.ENSP00000269571	0	0	0	0	0	0.270	0	0.855	0.890
ACTB	NOTCH1	9606.ENSP00000349960	9606.ENSP00000277541	0	0	0	0	0	0.077	0	0.703	0.714
ACTB	RUVBL1	9606.ENSP00000349960	9606.ENSP00000318297	0	0	0	0	0.063	0.937	0.900	0.358	0.995
ACTB	ACTR8	9606.ENSP00000349960	9606.ENSP00000336842	0	0	0	0	0.065	0.530	0.800	0.214	0.921
ACTB	KAT5	9606.ENSP00000349960	9606.ENSP00000340330	0	0	0	0	0.052	0.753	0.900	0.332	0.982
ACTB	MCRS1	9606.ENSP00000349960	9606.ENSP00000349640	0	0	0	0	0.060	0	0.800	0.047	0.805
ACTB	CREB1	9606.ENSP00000349960	9606.ENSP00000387699	0	0	0	0	0	0	0	0.717	0.717
ACTB	PARP1	9606.ENSP00000349960	9606.ENSP00000355759	0	0	0	0	0.062	0	0	0.727	0.733
ACTB	UCHL5	9606.ENSP00000349960	9606.ENSP00000356425	0	0	0	0	0.063	0.344	0.600	0.171	0.769
ACTB	MTOR	9606.ENSP00000349960	9606.ENSP00000354558	0	0	0	0	0.042	0.153	0	0.760	0.789
ACTB	TFPT	9606.ENSP00000349960	9606.ENSP00000375639	0	0	0	0	0	0	0.800	0	0.800
ACTB	INO80E	9606.ENSP00000349960	9606.ENSP00000457016	0	0	0	0	0.062	0	0.800	0	0.804
ACTB	NFRKB	9606.ENSP00000349960	9606.ENSP00000436926	0	0	0	0	0	0	0.800	0.067	0.805
ACTB	MYC	9606.ENSP00000349960	9606.ENSP00000479618	0	0	0	0	0.072	0.292	0	0.838	0.884
ACTB	INO80	9606.ENSP00000349960	9606.ENSP00000355205	0	0	0	0	0	0.644	0.800	0.052	0.926
ACTB	GTF2B	9606.ENSP00000349960	9606.ENSP00000359531	0	0	0	0	0.062	0	0.900	0.403	0.939
ACTB	TRRAP	9606.ENSP00000349960	9606.ENSP00000352925	0	0	0	0	0.057	0.503	0.900	0.155	0.955
ACTB	ACTL6A	9606.ENSP00000349960	9606.ENSP00000397552	0	0	0	0.874	0.053	0.868	0.900	0.974	0.988
ACTB	RUVBL2	9606.ENSP00000349960	9606.ENSP00000473172	0	0	0	0	0.085	0.926	0.900	0.276	0.994
ACTL6A	INO80B	9606.ENSP00000397552	9606.ENSP00000233331	0	0	0	0	0.062	0.486	0.900	0.390	0.966
ACTL6A	ACTR5	9606.ENSP00000397552	9606.ENSP00000243903	0	0	0	0.562	0.106	0.846	0.900	0.892	0.990
ACTL6A	YY1	9606.ENSP00000397552	9606.ENSP00000262238	0	0	0	0	0.062	0.691	0.900	0.232	0.974
ACTL6A	KAT2B	9606.ENSP00000397552	9606.ENSP00000263754	0	0	0	0	0.049	0.161	0.720	0.334	0.831
ACTL6A	TP53	9606.ENSP00000397552	9606.ENSP00000269305	0	0	0	0	0.075	0.270	0	0.723	0.797
ACTL6A	RUVBL1	9606.ENSP00000397552	9606.ENSP00000318297	0	0	0	0	0.412	0.947	0.900	0.920	0.999
ACTL6A	ACTR8	9606.ENSP00000397552	9606.ENSP00000336842	0	0	0	0.568	0.064	0.864	0.900	0.771	0.990
ACTL6A	KAT5	9606.ENSP00000397552	9606.ENSP00000340330	0	0	0	0	0.062	0.919	0.900	0.678	0.997
ACTL6A	MCRS1	9606.ENSP00000397552	9606.ENSP00000349640	0	0	0	0	0.083	0.486	0.900	0.113	0.952
ACTL6A	ACTB	9606.ENSP00000397552	9606.ENSP00000349960	0	0	0	0.874	0.053	0.868	0.900	0.974	0.988
ACTL6A	TRRAP	9606.ENSP00000397552	9606.ENSP00000352925	0	0	0	0	0.062	0.968	0.900	0.668	0.998
ACTL6A	INO80	9606.ENSP00000397552	9606.ENSP00000355205	0	0	0	0	0.071	0.927	0.900	0.578	0.996
ACTL6A	UCHL5	9606.ENSP00000397552	9606.ENSP00000356425	0	0	0	0	0.287	0.549	0.900	0	0.965
ACTL6A	TFPT	9606.ENSP00000397552	9606.ENSP00000375639	0	0	0	0	0.053	0.486	0.900	0.044	0.947
ACTL6A	INO80C	9606.ENSP00000397552	9606.ENSP00000391457	0	0	0	0	0.062	0.661	0.900	0.535	0.983
ACTL6A	HDAC2	9606.ENSP00000397552	9606.ENSP00000430432	0	0	0	0	0.349	0.346	0	0.352	0.700
ACTL6A	NFRKB	9606.ENSP00000397552	9606.ENSP00000436926	0	0	0	0	0.049	0.486	0.900	0	0.946
