#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
ACTL6A	KAT2A	9606.ENSP00000397552	9606.ENSP00000225916	0	0	0	0	0.062	0.361	0.720	0.333	0.873
ACTL6A	CCND1	9606.ENSP00000397552	9606.ENSP00000227507	0	0	0	0	0	0	0.650	0.324	0.753
ACTL6A	YY1	9606.ENSP00000397552	9606.ENSP00000262238	0	0	0	0	0.062	0.691	0.900	0.232	0.974
ACTL6A	KAT2B	9606.ENSP00000397552	9606.ENSP00000263754	0	0	0	0	0.049	0.161	0.720	0.334	0.831
ACTL6A	DNMT3A	9606.ENSP00000397552	9606.ENSP00000264709	0	0	0	0	0	0	0.650	0.204	0.709
ACTL6A	RUVBL1	9606.ENSP00000397552	9606.ENSP00000318297	0	0	0	0	0.412	0.947	0.900	0.920	0.999
ACTL6A	KAT5	9606.ENSP00000397552	9606.ENSP00000340330	0	0	0	0	0.062	0.919	0.900	0.678	0.997
ACTL6A	CTNNB1	9606.ENSP00000397552	9606.ENSP00000344456	0	0	0	0	0.069	0.123	0	0.713	0.746
ACTL6A	WDR5	9606.ENSP00000397552	9606.ENSP00000351446	0	0	0	0	0.146	0.221	0.720	0.111	0.812
ACTL6A	MAX	9606.ENSP00000397552	9606.ENSP00000351490	0	0	0	0	0	0.345	0.900	0.074	0.934
ACTL6A	TRRAP	9606.ENSP00000397552	9606.ENSP00000352925	0	0	0	0	0.062	0.968	0.900	0.668	0.998
ACTL6A	MYC	9606.ENSP00000397552	9606.ENSP00000479618	0	0	0	0	0.075	0.622	0.900	0.897	0.995
ACTL6A	RUVBL2	9606.ENSP00000397552	9606.ENSP00000473172	0	0	0	0	0.379	0.936	0.900	0.805	0.999
AKT1	MAPK1	9606.ENSP00000451828	9606.ENSP00000215832	0	0	0.304	0.592	0.068	0.148	0.800	0.795	0.895
AKT1	CCND1	9606.ENSP00000451828	9606.ENSP00000227507	0	0	0	0	0.062	0	0	0.869	0.872
AKT1	SMAD2	9606.ENSP00000451828	9606.ENSP00000262160	0	0	0	0	0.062	0.448	0	0.738	0.853
AKT1	AXIN1	9606.ENSP00000451828	9606.ENSP00000262320	0	0	0	0	0.096	0.112	0	0.971	0.975
AKT1	CREBBP	9606.ENSP00000451828	9606.ENSP00000262367	0	0	0	0	0	0.528	0.900	0.576	0.978
AKT1	EP300	9606.ENSP00000451828	9606.ENSP00000263253	0	0	0	0	0	0.885	0.900	0.903	0.998
AKT1	STAT3	9606.ENSP00000451828	9606.ENSP00000264657	0	0	0	0	0	0.140	0.900	0.875	0.988
AKT1	SKP2	9606.ENSP00000451828	9606.ENSP00000274255	0	0	0	0	0	0.838	0	0.766	0.960
AKT1	NOTCH1	9606.ENSP00000451828	9606.ENSP00000277541	0	0	0	0	0.077	0.491	0	0.852	0.924
AKT1	FOS	9606.ENSP00000451828	9606.ENSP00000306245	0	0	0	0	0	0.064	0	0.704	0.711
AKT1	EZH2	9606.ENSP00000451828	9606.ENSP00000320147	0	0	0	0	0	0.290	0	0.730	0.800
AKT1	SOX2	9606.ENSP00000451828	9606.ENSP00000323588	0	0	0	0	0	0.329	0	0.713	0.800
AKT1	GSK3B	9606.ENSP00000451828	9606.ENSP00000324806	0	0	0.218	0.576	0.049	0.934	0.900	0.873	0.996
AKT1	SMAD3	9606.ENSP00000451828	9606.ENSP00000332973	0	0	0	0	0.062	0.657	0	0.989	0.996
AKT1	HSP90AA1	9606.ENSP00000451828	9606.ENSP00000335153	0	0	0	0	0.062	0.946	0.900	0.991	0.999
AKT1	CTNNB1	9606.ENSP00000451828	9606.ENSP00000344456	0	0	0	0	0.083	0.541	0.900	0.919	0.996
AKT1	JUN	9606.ENSP00000451828	9606.ENSP00000360266	0	0	0	0	0	0.057	0.800	0.877	0.974
AKT1	RELA	9606.ENSP00000451828	9606.ENSP00000384273	0	0	0	0	0.086	0.056	0	0.720	0.738
AKT1	FOXO3	9606.ENSP00000451828	9606.ENSP00000385824	0	0	0	0	0.055	0.939	0.900	0.972	0.999
AKT1	CDKN2A	9606.ENSP00000451828	9606.ENSP00000418915	0	0	0	0	0.062	0.255	0	0.805	0.852
AKT1	BRCA1	9606.ENSP00000451828	9606.ENSP00000418960	0	0	0	0	0	0.835	0.800	0.657	0.987
AKT1	HIF1A	9606.ENSP00000451828	9606.ENSP00000437955	0	0	0	0	0	0.261	0.900	0.887	0.990
AKT1	MYC	9606.ENSP00000451828	9606.ENSP00000479618	0	0	0	0	0.051	0.143	0.900	0.859	0.987
AXIN1	CCND1	9606.ENSP00000262320	9606.ENSP00000227507	0	0	0	0	0.062	0	0	0.764	0.769
AXIN1	PIN1	9606.ENSP00000262320	9606.ENSP00000247970	0	0	0	0	0	0.270	0.900	0.201	0.936
AXIN1	MAX	9606.ENSP00000262320	9606.ENSP00000351490	0	0	0	0	0	0	0.900	0.076	0.903
AXIN1	KAT5	9606.ENSP00000262320	9606.ENSP00000340330	0	0	0	0	0.085	0	0	0.936	0.940
AXIN1	AKT1	9606.ENSP00000262320	9606.ENSP00000451828	0	0	0	0	0.096	0.112	0	0.971	0.975
AXIN1	NOTCH1	9606.ENSP00000262320	9606.ENSP00000277541	0	0	0	0	0.107	0.104	0.900	0.767	0.979
AXIN1	MYC	9606.ENSP00000262320	9606.ENSP00000479618	0	0	0	0	0.065	0.270	0.900	0.807	0.985
AXIN1	SMAD3	9606.ENSP00000262320	9606.ENSP00000332973	0	0	0	0	0.062	0.302	0.900	0.935	0.995
AXIN1	CTNNB1	9606.ENSP00000262320	9606.ENSP00000344456	0	0	0	0	0.062	0.994	0.900	0.994	0.999
AXIN1	GSK3B	9606.ENSP00000262320	9606.ENSP00000324806	0	0	0	0	0.062	0.998	0.900	0.991	0.999
BIN1	MYC	9606.ENSP00000316779	9606.ENSP00000479618	0	0	0	0	0.066	0.962	0	0.988	0.999
BRCA1	CCND1	9606.ENSP00000418960	9606.ENSP00000227507	0	0	0	0	0.062	0.486	0	0.972	0.985
BRCA1	CREBBP	9606.ENSP00000418960	9606.ENSP00000262367	0	0	0	0	0	0.871	0	0.772	0.969
BRCA1	EP300	9606.ENSP00000418960	9606.ENSP00000263253	0	0	0	0	0	0.753	0	0.941	0.984
BRCA1	SKP2	9606.ENSP00000418960	9606.ENSP00000274255	0	0	0	0	0.148	0.487	0	0.426	0.727
BRCA1	EZH2	9606.ENSP00000418960	9606.ENSP00000320147	0	0	0	0	0.194	0.501	0	0.891	0.952
BRCA1	SP1	9606.ENSP00000418960	9606.ENSP00000329357	0	0	0	0	0.062	0.678	0	0.570	0.858
BRCA1	SMAD3	9606.ENSP00000418960	9606.ENSP00000332973	0	0	0	0	0	0.486	0	0.460	0.710
BRCA1	HSP90AA1	9606.ENSP00000418960	9606.ENSP00000335153	0	0	0	0	0.062	0.270	0	0.651	0.740
BRCA1	KAT5	9606.ENSP00000418960	9606.ENSP00000340330	0	0	0	0	0	0.128	0.600	0.562	0.833
BRCA1	JUN	9606.ENSP00000418960	9606.ENSP00000360266	0	0	0	0	0	0.640	0	0.712	0.892
BRCA1	HDAC1	9606.ENSP00000418960	9606.ENSP00000362649	0	0	0	0	0.062	0.270	0	0.725	0.795
BRCA1	RELA	9606.ENSP00000418960	9606.ENSP00000384273	0	0	0	0	0	0.684	0	0.878	0.960
BRCA1	CDKN2A	9606.ENSP00000418960	9606.ENSP00000418915	0	0	0	0	0	0.270	0	0.718	0.785
BRCA1	HIF1A	9606.ENSP00000418960	9606.ENSP00000437955	0	0	0	0	0.062	0.270	0	0.634	0.728
BRCA1	AKT1	9606.ENSP00000418960	9606.ENSP00000451828	0	0	0	0	0	0.835	0.800	0.657	0.987
BRCA1	MYC	9606.ENSP00000418960	9606.ENSP00000479618	0	0	0	0	0.062	0.873	0	0.986	0.998
CCND1	KAT2B	9606.ENSP00000227507	9606.ENSP00000263754	0	0	0	0	0	0.486	0	0.525	0.745
CCND1	ACTL6A	9606.ENSP00000227507	9606.ENSP00000397552	0	0	0	0	0	0	0.650	0.324	0.753
CCND1	AXIN1	9606.ENSP00000227507	9606.ENSP00000262320	0	0	0	0	0.062	0	0	0.764	0.769
CCND1	NOTCH1	9606.ENSP00000227507	9606.ENSP00000277541	0	0	0	0	0.060	0	0	0.768	0.774
CCND1	DNMT3A	9606.ENSP00000227507	9606.ENSP00000264709	0	0	0	0	0	0	0.650	0.405	0.782
CCND1	CDK9	9606.ENSP00000227507	9606.ENSP00000362361	0	0	0	0	0	0	0.720	0.461	0.842
CCND1	AKT1	9606.ENSP00000227507	9606.ENSP00000451828	0	0	0	0	0.062	0	0	0.869	0.872
CCND1	HSP90AA1	9606.ENSP00000227507	9606.ENSP00000335153	0	0	0	0	0	0.130	0	0.880	0.891
CCND1	SKP2	9606.ENSP00000227507	9606.ENSP00000274255	0	0	0	0	0.062	0	0.650	0.715	0.898
CCND1	HDAC3	9606.ENSP00000227507	9606.ENSP00000302967	0	0	0	0	0.062	0.760	0	0.599	0.902
CCND1	NANOG	9606.ENSP00000227507	9606.ENSP00000229307	0	0	0	0	0	0	0.900	0.593	0.957
CCND1	FOXO3	9606.ENSP00000227507	9606.ENSP00000385824	0	0	0	0	0	0	0.900	0.640	0.962
CCND1	SOX2	9606.ENSP00000227507	9606.ENSP00000323588	0	0	0	0	0	0	0.900	0.671	0.965
CCND1	HIF1A	9606.ENSP00000227507	9606.ENSP00000437955	0	0	0	0	0	0	0.900	0.686	0.967
CCND1	CREBBP	9606.ENSP00000227507	9606.ENSP00000262367	0	0	0	0	0.062	0.270	0.900	0.588	0.968
CCND1	RELA	9606.ENSP00000227507	9606.ENSP00000384273	0	0	0	0	0	0.486	0.900	0.602	0.977
CCND1	RBL1	9606.ENSP00000227507	9606.ENSP00000362768	0	0	0	0	0.062	0.389	0.900	0.697	0.980
CCND1	JUN	9606.ENSP00000227507	9606.ENSP00000360266	0	0	0	0	0	0.270	0.900	0.774	0.982
CCND1	BRCA1	9606.ENSP00000227507	9606.ENSP00000418960	0	0	0	0	0.062	0.486	0	0.972	0.985
CCND1	FOS	9606.ENSP00000227507	9606.ENSP00000306245	0	0	0	0	0	0.494	0.900	0.775	0.987
CCND1	HDAC1	9606.ENSP00000227507	9606.ENSP00000362649	0	0	0	0	0.062	0.619	0.900	0.760	0.990
CCND1	MYC	9606.ENSP00000227507	9606.ENSP00000479618	0	0	0	0	0.069	0	0.900	0.919	0.991
CCND1	CTNNB1	9606.ENSP00000227507	9606.ENSP00000344456	0	0	0	0	0.082	0.470	0.900	0.886	0.993
CCND1	GSK3B	9606.ENSP00000227507	9606.ENSP00000324806	0	0	0	0	0	0.600	0.900	0.845	0.993
CCND1	EP300	9606.ENSP00000227507	9606.ENSP00000263253	0	0	0	0	0.062	0.835	0.900	0.754	0.995
CCND1	STAT3	9606.ENSP00000227507	9606.ENSP00000264657	0	0	0	0	0.049	0.708	0.900	0.854	0.995
CCND1	CDKN2A	9606.ENSP00000227507	9606.ENSP00000418915	0	0	0	0	0.062	0.850	0.900	0.847	0.997
CDCA7L	MYC	9606.ENSP00000383986	9606.ENSP00000479618	0	0	0	0	0.096	0.486	0	0.988	0.994
CDK9	CCND1	9606.ENSP00000362361	9606.ENSP00000227507	0	0	0	0	0	0	0.720	0.461	0.842
CDK9	SMAD2	9606.ENSP00000362361	9606.ENSP00000262160	0	0	0	0	0	0.270	0.900	0.226	0.938
CDK9	STAT3	9606.ENSP00000362361	9606.ENSP00000264657	0	0	0	0	0	0.270	0	0.970	0.977
CDK9	SP1	9606.ENSP00000362361	9606.ENSP00000329357	0	0	0	0	0.059	0.058	0.600	0.835	0.933
CDK9	SMAD3	9606.ENSP00000362361	9606.ENSP00000332973	0	0	0	0	0	0.270	0.900	0.456	0.956
CDK9	HSP90AA1	9606.ENSP00000362361	9606.ENSP00000335153	0	0	0	0	0	0.707	0	0.696	0.907
CDK9	RELA	9606.ENSP00000362361	9606.ENSP00000384273	0	0	0	0	0.109	0.270	0	0.829	0.879
CDK9	MYC	9606.ENSP00000362361	9606.ENSP00000479618	0	0	0	0	0	0.876	0	0.908	0.988
