#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
ADIPOQ	CREBBP	9606.ENSP00000389814	9606.ENSP00000262367	0	0	0	0	0	0	0.900	0.175	0.914
ADIPOQ	EP300	9606.ENSP00000389814	9606.ENSP00000263253	0	0	0	0	0	0	0.900	0.212	0.917
ADIPOQ	PPARG	9606.ENSP00000389814	9606.ENSP00000287820	0	0	0	0	0.063	0	0.900	0.894	0.989
ADIPOQ	CEBPB	9606.ENSP00000389814	9606.ENSP00000305422	0	0	0	0	0.055	0	0.900	0.629	0.961
ADIPOQ	IL6	9606.ENSP00000389814	9606.ENSP00000385675	0	0	0	0	0	0	0	0.872	0.872
ADIPOQ	CEBPA	9606.ENSP00000389814	9606.ENSP00000427514	0	0	0	0	0.062	0	0.900	0.799	0.979
ASNS	TRIB3	9606.ENSP00000175506	9606.ENSP00000217233	0	0	0	0	0.267	0	0	0.702	0.773
ASNS	CEBPG	9606.ENSP00000175506	9606.ENSP00000284000	0	0	0	0	0.093	0	0.900	0.245	0.925
ASNS	CEBPB	9606.ENSP00000175506	9606.ENSP00000305422	0	0	0	0	0	0	0.900	0.549	0.953
ASNS	ATF4	9606.ENSP00000175506	9606.ENSP00000336790	0	0	0	0	0.097	0	0.900	0.671	0.967
ATF3	TRIB3	9606.ENSP00000344352	9606.ENSP00000217233	0	0	0	0	0.064	0.078	0.650	0.605	0.864
ATF3	EGR1	9606.ENSP00000344352	9606.ENSP00000239938	0	0	0	0	0.254	0.062	0	0.716	0.784
ATF3	STAT3	9606.ENSP00000344352	9606.ENSP00000264657	0	0	0	0	0.062	0.492	0	0.558	0.771
ATF3	CEBPB	9606.ENSP00000344352	9606.ENSP00000305422	0	0	0	0	0.372	0.518	0.800	0.751	0.982
ATF3	SMAD3	9606.ENSP00000344352	9606.ENSP00000332973	0	0	0	0	0	0.528	0.900	0.946	0.997
ATF3	ATF4	9606.ENSP00000344352	9606.ENSP00000336790	0	0	0	0	0.063	0.704	0.800	0.712	0.981
ATF3	SMAD4	9606.ENSP00000344352	9606.ENSP00000341551	0	0	0	0	0	0.062	0.900	0.835	0.983
ATF3	CEBPA	9606.ENSP00000344352	9606.ENSP00000427514	0	0	0	0	0.146	0.299	0	0.617	0.751
ATF3	CREB1	9606.ENSP00000344352	9606.ENSP00000387699	0	0	0	0	0.063	0	0	0.815	0.820
ATF3	CHAC1	9606.ENSP00000344352	9606.ENSP00000398105	0	0	0	0	0.183	0	0.900	0.591	0.963
ATF3	DDIT3	9606.ENSP00000344352	9606.ENSP00000448665	0	0	0	0	0.115	0.875	0.720	0.751	0.991
ATF3	HDAC1	9606.ENSP00000344352	9606.ENSP00000362649	0	0	0	0	0.049	0.720	0	0.985	0.996
ATF3	JUN	9606.ENSP00000344352	9606.ENSP00000360266	0	0	0	0	0.861	0.923	0.900	0.994	0.999
ATF4	ASNS	9606.ENSP00000336790	9606.ENSP00000175506	0	0	0	0	0.097	0	0.900	0.671	0.967
ATF4	TRIB3	9606.ENSP00000336790	9606.ENSP00000217233	0	0	0	0	0.065	0.708	0.900	0.945	0.998
