#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
ARC	EGR1	9606.ENSP00000349022	9606.ENSP00000239938	0	0	0	0	0.064	0	0.900	0.655	0.964
ARC	FOSB	9606.ENSP00000349022	9606.ENSP00000245919	0	0	0	0	0.064	0	0.900	0.276	0.926
ARC	JUND	9606.ENSP00000349022	9606.ENSP00000252818	0	0	0	0	0.062	0	0.900	0.063	0.904
ARC	SRF	9606.ENSP00000349022	9606.ENSP00000265354	0	0	0	0	0.062	0	0.900	0.288	0.927
ARC	JUNB	9606.ENSP00000349022	9606.ENSP00000303315	0	0	0	0	0.064	0	0.900	0.103	0.908
ARC	FOS	9606.ENSP00000349022	9606.ENSP00000306245	0	0	0	0	0.062	0	0.900	0.667	0.966
ARC	CREB1	9606.ENSP00000349022	9606.ENSP00000387699	0	0	0	0	0	0	0.900	0.575	0.955
ATF2	MAPK1	9606.ENSP00000264110	9606.ENSP00000215832	0	0	0	0	0.062	0.786	0.900	0.536	0.989
ATF2	CCND1	9606.ENSP00000264110	9606.ENSP00000227507	0	0	0	0	0	0.270	0.900	0.334	0.947
ATF2	MAPK14	9606.ENSP00000264110	9606.ENSP00000229795	0	0	0	0	0	0.942	0.900	0.616	0.997
ATF2	NR3C1	9606.ENSP00000264110	9606.ENSP00000231509	0	0	0	0	0.062	0.082	0.900	0.172	0.919
ATF2	EGR1	9606.ENSP00000264110	9606.ENSP00000239938	0	0	0	0	0	0.345	0.650	0.324	0.831
ATF2	JUND	9606.ENSP00000264110	9606.ENSP00000252818	0	0	0	0.580	0.065	0.803	0.900	0.438	0.983
ATF2	MAPK3	9606.ENSP00000264110	9606.ENSP00000263025	0	0	0	0	0.062	0.600	0.900	0.441	0.976
ATF2	EP300	9606.ENSP00000264110	9606.ENSP00000263253	0	0	0	0	0.063	0.500	0.900	0.683	0.983
ATF2	CREM	9606.ENSP00000264110	9606.ENSP00000265372	0	0	0	0	0.062	0	0.600	0.325	0.724
ATF2	PPARG	9606.ENSP00000264110	9606.ENSP00000287820	0	0	0	0	0	0.082	0.650	0.348	0.772
ATF2	ESR1	9606.ENSP00000264110	9606.ENSP00000405330	0	0	0	0	0	0.082	0.900	0.239	0.924
ATF2	RELA	9606.ENSP00000264110	9606.ENSP00000384273	0	0	0	0	0	0	0.900	0.296	0.926
ATF2	SMAD4	9606.ENSP00000264110	9606.ENSP00000341551	0	0	0	0	0.097	0.285	0.900	0.453	0.960
ATF2	FOS	9606.ENSP00000264110	9606.ENSP00000306245	0	0	0	0.568	0	0.894	0.600	0.702	0.969
ATF2	SMAD3	9606.ENSP00000264110	9606.ENSP00000332973	0	0	0	0	0.062	0.285	0.900	0.700	0.977
ATF2	JUNB	9606.ENSP00000264110	9606.ENSP00000303315	0	0	0	0.571	0.065	0.860	0.900	0.269	0.987
ATF2	CREB1	9606.ENSP00000264110	9606.ENSP00000387699	0	0	0	0	0.063	0.272	0.900	0.889	0.991
ATF2	MAPK8	9606.ENSP00000264110	9606.ENSP00000378974	0	0	0	0	0.062	0.919	0.900	0.541	0.996
ATF2	JUN	9606.ENSP00000264110	9606.ENSP00000360266	0	0	0	0.576	0.065	0.984	0.900	0.989	0.999
CCL2	PPARG	9606.ENSP00000225831	9606.ENSP00000287820	0	0	0	0	0.055	0	0	0.705	0.709
CCL2	STAT3	9606.ENSP00000225831	9606.ENSP00000264657	0	0	0	0	0	0	0.650	0.696	0.889
CCL2	RELA	9606.ENSP00000225831	9606.ENSP00000384273	0	0	0	0	0	0.486	0.800	0.561	0.950
CCL2	FOS	9606.ENSP00000225831	9606.ENSP00000306245	0	0	0	0	0	0	0.900	0.556	0.953
CCL2	JUN	9606.ENSP00000225831	9606.ENSP00000360266	0	0	0	0	0.062	0	0.900	0.686	0.968
CCL2	TNF	9606.ENSP00000225831	9606.ENSP00000398698	0	0	0	0	0.062	0	0.900	0.930	0.992
CCL2	IL6	9606.ENSP00000225831	9606.ENSP00000385675	0	0	0	0	0.267	0	0.900	0.930	0.994
CCND1	EGF	9606.ENSP00000227507	9606.ENSP00000265171	0	0	0	0	0	0	0	0.727	0.727
CCND1	MAPK3	9606.ENSP00000227507	9606.ENSP00000263025	0	0	0	0	0	0	0	0.750	0.750
CCND1	NOTCH1	9606.ENSP00000227507	9606.ENSP00000277541	0	0	0	0	0.060	0	0	0.768	0.774
CCND1	EGFR	9606.ENSP00000227507	9606.ENSP00000275493	0	0	0	0	0.200	0.109	0	0.825	0.864
CCND1	CEBPD	9606.ENSP00000227507	9606.ENSP00000386165	0	0	0	0	0	0	0.900	0.323	0.929
CCND1	JUNB	9606.ENSP00000227507	9606.ENSP00000303315	0	0	0	0	0	0	0.900	0.346	0.931
CCND1	ATF2	9606.ENSP00000227507	9606.ENSP00000264110	0	0	0	0	0	0.270	0.900	0.334	0.947
CCND1	RUNX2	9606.ENSP00000227507	9606.ENSP00000360493	0	0	0	0	0	0	0.900	0.593	0.957
CCND1	SMAD4	9606.ENSP00000227507	9606.ENSP00000341551	0	0	0	0	0	0	0.900	0.602	0.958
CCND1	TCF7L2	9606.ENSP00000227507	9606.ENSP00000358404	0	0	0	0	0.051	0.270	0.900	0.482	0.959
CCND1	CREB1	9606.ENSP00000227507	9606.ENSP00000387699	0	0	0	0	0	0	0.900	0.609	0.959
CCND1	STAT5B	9606.ENSP00000227507	9606.ENSP00000293328	0	0	0	0	0.049	0.139	0.900	0.563	0.959
CCND1	ZEB1	9606.ENSP00000227507	9606.ENSP00000354487	0	0	0	0	0	0	0.900	0.610	0.959
CCND1	STAT5A	9606.ENSP00000227507	9606.ENSP00000341208	0	0	0	0	0.049	0.139	0.900	0.601	0.962
CCND1	HIF1A	9606.ENSP00000227507	9606.ENSP00000437955	0	0	0	0	0	0	0.900	0.686	0.967
CCND1	RELA	9606.ENSP00000227507	9606.ENSP00000384273	0	0	0	0	0	0.486	0.900	0.602	0.977
CCND1	JUN	9606.ENSP00000227507	9606.ENSP00000360266	0	0	0	0	0	0.270	0.900	0.774	0.982
CCND1	FOS	9606.ENSP00000227507	9606.ENSP00000306245	0	0	0	0	0	0.494	0.900	0.775	0.987
CCND1	MYC	9606.ENSP00000227507	9606.ENSP00000479618	0	0	0	0	0.069	0	0.900	0.919	0.991
CCND1	CTNNB1	9606.ENSP00000227507	9606.ENSP00000344456	0	0	0	0	0.082	0.470	0.900	0.886	0.993
CCND1	EP300	9606.ENSP00000227507	9606.ENSP00000263253	0	0	0	0	0.062	0.835	0.900	0.754	0.995
CCND1	STAT3	9606.ENSP00000227507	9606.ENSP00000264657	0	0	0	0	0.049	0.708	0.900	0.854	0.995
CCND1	ESR1	9606.ENSP00000227507	9606.ENSP00000405330	0	0	0	0	0	0.867	0.900	0.987	0.999
CEBPA	MAPK14	9606.ENSP00000427514	9606.ENSP00000229795	0	0	0	0	0.062	0.061	0.900	0.321	0.932
CEBPA	NR3C1	9606.ENSP00000427514	9606.ENSP00000231509	0	0	0	0	0	0.477	0	0.973	0.985
CEBPA	EP300	9606.ENSP00000427514	9606.ENSP00000263253	0	0	0	0	0.062	0.302	0.900	0.905	0.993
CEBPA	STAT3	9606.ENSP00000427514	9606.ENSP00000264657	0	0	0	0	0.062	0.066	0.650	0.720	0.903
CEBPA	PPARG	9606.ENSP00000427514	9606.ENSP00000287820	0	0	0	0	0.062	0.069	0.900	0.949	0.995
CEBPA	FOS	9606.ENSP00000427514	9606.ENSP00000306245	0	0	0	0	0.112	0.299	0.900	0.880	0.991
CEBPA	CTNNB1	9606.ENSP00000427514	9606.ENSP00000344456	0	0	0	0	0	0.213	0	0.660	0.721
CEBPA	ETS2	9606.ENSP00000427514	9606.ENSP00000353344	0	0	0	0	0.096	0.058	0.900	0.710	0.972
CEBPA	JUN	9606.ENSP00000427514	9606.ENSP00000360266	0	0	0	0	0.077	0.316	0.900	0.984	0.998
CEBPA	ETS1	9606.ENSP00000427514	9606.ENSP00000376436	0	0	0	0	0.062	0.058	0.900	0.840	0.984
CEBPA	NCOA1	9606.ENSP00000427514	9606.ENSP00000385216	0	0	0	0	0.051	0.141	0.900	0.268	0.932
CEBPA	IL6	9606.ENSP00000427514	9606.ENSP00000385675	0	0	0	0	0	0	0	0.767	0.768
CEBPA	CEBPD	9606.ENSP00000427514	9606.ENSP00000386165	0	0	0	0.766	0.189	0.474	0.900	0.848	0.962
CEBPA	CREB1	9606.ENSP00000427514	9606.ENSP00000387699	0	0	0	0	0	0.145	0	0.715	0.746
CEBPA	TNF	9606.ENSP00000427514	9606.ENSP00000398698	0	0	0	0	0.076	0	0.900	0.598	0.959
CEBPA	ESR1	9606.ENSP00000427514	9606.ENSP00000405330	0	0	0	0	0.062	0.291	0	0.841	0.885
CEBPA	HIF1A	9606.ENSP00000427514	9606.ENSP00000437955	0	0	0	0	0	0.494	0	0.501	0.737
CEBPA	MYC	9606.ENSP00000427514	9606.ENSP00000479618	0	0	0	0	0.058	0.334	0.900	0.644	0.974
CEBPD	CCND1	9606.ENSP00000386165	9606.ENSP00000227507	0	0	0	0	0	0	0.900	0.323	0.929
CEBPD	STAT3	9606.ENSP00000386165	9606.ENSP00000264657	0	0	0	0	0.062	0.066	0.900	0.470	0.947
CEBPD	PPARG	9606.ENSP00000386165	9606.ENSP00000287820	0	0	0	0	0	0.069	0.900	0.686	0.968
CEBPD	JUNB	9606.ENSP00000386165	9606.ENSP00000303315	0	0	0	0	0.206	0.102	0.900	0.217	0.936
CEBPD	FOS	9606.ENSP00000386165	9606.ENSP00000306245	0	0	0	0	0.144	0.078	0.900	0.464	0.952
CEBPD	ZEB1	9606.ENSP00000386165	9606.ENSP00000354487	0	0	0	0	0.064	0	0.900	0.134	0.911
CEBPD	HIF1A	9606.ENSP00000386165	9606.ENSP00000437955	0	0	0	0	0	0	0.900	0.293	0.926
CEBPD	MYC	9606.ENSP00000386165	9606.ENSP00000479618	0	0	0	0	0.063	0.102	0.900	0.394	0.942
CEBPD	CEBPA	9606.ENSP00000386165	9606.ENSP00000427514	0	0	0	0.766	0.189	0.474	0.900	0.848	0.962
CREB1	MAPK1	9606.ENSP00000387699	9606.ENSP00000215832	0	0	0	0	0	0	0.900	0.733	0.972
CREB1	CCND1	9606.ENSP00000387699	9606.ENSP00000227507	0	0	0	0	0	0	0.900	0.609	0.959
CREB1	MAPK14	9606.ENSP00000387699	9606.ENSP00000229795	0	0	0	0	0	0.462	0.900	0.642	0.979
CREB1	NR3C1	9606.ENSP00000387699	9606.ENSP00000231509	0	0	0	0	0.062	0.690	0	0.706	0.907
CREB1	EGR1	9606.ENSP00000387699	9606.ENSP00000239938	0	0	0	0	0.055	0.062	0.900	0.726	0.972
CREB1	FOSB	9606.ENSP00000387699	9606.ENSP00000245919	0	0	0	0	0	0	0.650	0.673	0.880
CREB1	JUND	9606.ENSP00000387699	9606.ENSP00000252818	0	0	0	0	0	0.273	0.650	0.708	0.919
CREB1	MAPK3	9606.ENSP00000387699	9606.ENSP00000263025	0	0	0	0	0	0	0.900	0.767	0.975
CREB1	EP300	9606.ENSP00000387699	9606.ENSP00000263253	0	0	0	0	0.062	0.889	0.900	0.991	0.999
CREB1	ATF2	9606.ENSP00000387699	9606.ENSP00000264110	0	0	0	0	0.063	0.272	0.900	0.889	0.991
CREB1	STAT3	9606.ENSP00000387699	9606.ENSP00000264657	0	0	0	0	0	0.270	0.650	0.747	0.930
CREB1	SRF	9606.ENSP00000387699	9606.ENSP00000265354	0	0	0	0	0	0.213	0.600	0.604	0.864
CREB1	CREM	9606.ENSP00000387699	9606.ENSP00000265372	0	0	0	0.950	0	0.492	0.600	0.906	0.797
CREB1	PPARG	9606.ENSP00000387699	9606.ENSP00000287820	0	0	0	0	0	0.078	0	0.708	0.719
CREB1	JUNB	9606.ENSP00000387699	9606.ENSP00000303315	0	0	0	0	0.087	0.057	0.650	0.538	0.842
CREB1	FOS	9606.ENSP00000387699	9606.ENSP00000306245	0	0	0	0	0	0	0.900	0.910	0.990
CREB1	CTNNB1	9606.ENSP00000387699	9606.ENSP00000344456	0	0	0	0	0.062	0.675	0	0.756	0.919
CREB1	ARC	9606.ENSP00000387699	9606.ENSP00000349022	0	0	0	0	0	0	0.900	0.575	0.955
CREB1	JUN	9606.ENSP00000387699	9606.ENSP00000360266	0	0	0	0	0	0.492	0.900	0.977	0.998
CREB1	IL6	9606.ENSP00000387699	9606.ENSP00000385675	0	0	0	0	0	0	0.900	0.670	0.965
CREB1	CEBPA	9606.ENSP00000387699	9606.ENSP00000427514	0	0	0	0	0	0.145	0	0.715	0.746
CREB1	NFATC1	9606.ENSP00000387699	9606.ENSP00000389377	0	0	0	0	0	0.298	0	0.738	0.808
CREB1	ESR1	9606.ENSP00000387699	9606.ENSP00000405330	0	0	0	0	0	0.078	0	0.852	0.858
CREB1	HIF1A	9606.ENSP00000387699	9606.ENSP00000437955	0	0	0	0	0.062	0.270	0.900	0.814	0.985
CREM	ATF2	9606.ENSP00000265372	9606.ENSP00000264110	0	0	0	0	0.062	0	0.600	0.325	0.724
CREM	CREB1	9606.ENSP00000265372	9606.ENSP00000387699	0	0	0	0.950	0	0.492	0.600	0.906	0.797
CREM	NFATC1	9606.ENSP00000265372	9606.ENSP00000389377	0	0	0	0	0	0	0.900	0.178	0.914
CREM	NFATC2	9606.ENSP00000265372	9606.ENSP00000379330	0	0	0	0	0.062	0	0.900	0.162	0.914
CREM	JUN	9606.ENSP00000265372	9606.ENSP00000360266	0	0	0	0	0	0.061	0.900	0.503	0.949
CREM	FOS	9606.ENSP00000265372	9606.ENSP00000306245	0	0	0	0	0.062	0.486	0.900	0.614	0.978
CTNNB1	CCND1	9606.ENSP00000344456	9606.ENSP00000227507	0	0	0	0	0.082	0.470	0.900	0.886	0.993
CTNNB1	MAPK14	9606.ENSP00000344456	9606.ENSP00000229795	0	0	0	0	0.065	0.056	0.600	0.557	0.822
CTNNB1	DUSP1	9606.ENSP00000344456	9606.ENSP00000239223	0	0	0	0	0.049	0.129	0	0.832	0.848
CTNNB1	MAPK3	9606.ENSP00000344456	9606.ENSP00000263025	0	0	0	0	0.062	0.056	0	0.759	0.768
CTNNB1	EP300	9606.ENSP00000344456	9606.ENSP00000263253	0	0	0	0	0.054	0.930	0.900	0.994	0.999
CTNNB1	STAT3	9606.ENSP00000344456	9606.ENSP00000264657	0	0	0	0	0	0	0	0.812	0.812
CTNNB1	EGF	9606.ENSP00000344456	9606.ENSP00000265171	0	0	0	0	0	0.116	0.900	0.782	0.979
CTNNB1	EGFR	9606.ENSP00000344456	9606.ENSP00000275493	0	0	0	0	0.062	0.789	0.900	0.990	0.999
CTNNB1	NOTCH1	9606.ENSP00000344456	9606.ENSP00000277541	0	0	0	0	0.054	0.400	0.900	0.971	0.998
CTNNB1	PPARG	9606.ENSP00000344456	9606.ENSP00000287820	0	0	0	0	0	0.837	0	0.986	0.997
CTNNB1	FOS	9606.ENSP00000344456	9606.ENSP00000306245	0	0	0	0	0	0	0.900	0.928	0.992
CTNNB1	SMAD3	9606.ENSP00000344456	9606.ENSP00000332973	0	0	0	0	0.064	0.836	0	0.989	0.998
CTNNB1	SMAD4	9606.ENSP00000344456	9606.ENSP00000341551	0	0	0	0	0.063	0.297	0.900	0.991	0.999
CTNNB1	CEBPA	9606.ENSP00000344456	9606.ENSP00000427514	0	0	0	0	0	0.213	0	0.660	0.721
CTNNB1	TNFSF11	9606.ENSP00000344456	9606.ENSP00000381775	0	0	0	0	0	0	0	0.755	0.756
CTNNB1	ZEB1	9606.ENSP00000344456	9606.ENSP00000354487	0	0	0	0	0	0	0	0.779	0.779
CTNNB1	MAPK8	9606.ENSP00000344456	9606.ENSP00000378974	0	0	0	0	0.102	0.501	0	0.625	0.817
CTNNB1	CREB1	9606.ENSP00000344456	9606.ENSP00000387699	0	0	0	0	0.062	0.675	0	0.756	0.919
CTNNB1	RELA	9606.ENSP00000344456	9606.ENSP00000384273	0	0	0	0	0	0.592	0	0.816	0.922
CTNNB1	RUNX2	9606.ENSP00000344456	9606.ENSP00000360493	0	0	0	0	0	0.107	0	0.937	0.942
CTNNB1	ESR1	9606.ENSP00000344456	9606.ENSP00000405330	0	0	0	0	0	0.345	0	0.988	0.992
CTNNB1	MYC	9606.ENSP00000344456	9606.ENSP00000479618	0	0	0	0	0	0.507	0.900	0.888	0.994
CTNNB1	HIF1A	9606.ENSP00000344456	9606.ENSP00000437955	0	0	0	0	0.079	0.753	0	0.991	0.997
CTNNB1	TCF7L2	9606.ENSP00000344456	9606.ENSP00000358404	0	0	0	0	0	0.997	0.900	0.995	0.999
CTNNB1	JUN	9606.ENSP00000344456	9606.ENSP00000360266	0	0	0	0	0	0.182	0.900	0.989	0.999
DUSP1	MAPK1	9606.ENSP00000239223	9606.ENSP00000215832	0	0	0	0	0	0.837	0.900	0.776	0.996
DUSP1	MAPK14	9606.ENSP00000239223	9606.ENSP00000229795	0	0	0	0	0	0.900	0.900	0.887	0.998
DUSP1	NR3C1	9606.ENSP00000239223	9606.ENSP00000231509	0	0	0	0	0	0.058	0.900	0.597	0.958
DUSP1	EGR1	9606.ENSP00000239223	9606.ENSP00000239938	0	0	0	0	0.298	0.067	0	0.653	0.753
DUSP1	JUNB	9606.ENSP00000239223	9606.ENSP00000303315	0	0	0	0	0.658	0.145	0	0.299	0.777
