#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
ARC	EGR1	9606.ENSP00000349022	9606.ENSP00000239938	0	0	0	0	0.064	0	0.900	0.655	0.964
ARC	EGR2	9606.ENSP00000349022	9606.ENSP00000242480	0	0	0	0	0.185	0	0.900	0.234	0.932
ARC	FOSB	9606.ENSP00000349022	9606.ENSP00000245919	0	0	0	0	0.064	0	0.900	0.276	0.926
ARC	JUND	9606.ENSP00000349022	9606.ENSP00000252818	0	0	0	0	0.062	0	0.900	0.063	0.904
ARC	SRF	9606.ENSP00000349022	9606.ENSP00000265354	0	0	0	0	0.062	0	0.900	0.288	0.927
ARC	JUNB	9606.ENSP00000349022	9606.ENSP00000303315	0	0	0	0	0.064	0	0.900	0.103	0.908
ARC	FOS	9606.ENSP00000349022	9606.ENSP00000306245	0	0	0	0	0.062	0	0.900	0.667	0.966
ARC	FOSL1	9606.ENSP00000349022	9606.ENSP00000310170	0	0	0	0	0	0	0.900	0.075	0.903
ARC	EGR3	9606.ENSP00000349022	9606.ENSP00000318057	0	0	0	0	0.096	0	0.900	0.268	0.928
ARC	CREB1	9606.ENSP00000349022	9606.ENSP00000387699	0	0	0	0	0	0	0.900	0.575	0.955
ATF2	CCND1	9606.ENSP00000264110	9606.ENSP00000227507	0	0	0	0	0	0.270	0.900	0.334	0.947
ATF2	IL4	9606.ENSP00000264110	9606.ENSP00000231449	0	0	0	0	0	0	0.900	0.152	0.911
ATF2	EGR1	9606.ENSP00000264110	9606.ENSP00000239938	0	0	0	0	0	0.345	0.650	0.324	0.831
ATF2	BATF3	9606.ENSP00000264110	9606.ENSP00000243440	0	0	0	0	0	0.836	0	0	0.836
ATF2	JUND	9606.ENSP00000264110	9606.ENSP00000252818	0	0	0	0.580	0.065	0.803	0.900	0.438	0.983
ATF2	EP300	9606.ENSP00000264110	9606.ENSP00000263253	0	0	0	0	0.063	0.500	0.900	0.683	0.983
ATF2	ATF3	9606.ENSP00000264110	9606.ENSP00000344352	0	0	0	0.671	0	0.683	0	0.402	0.723
ATF2	ATF7	9606.ENSP00000264110	9606.ENSP00000399465	0	0	0	0.942	0	0.785	0	0.623	0.792
ATF2	FOSL2	9606.ENSP00000264110	9606.ENSP00000264716	0	0	0	0.595	0	0.780	0	0.172	0.792
ATF2	POU2F1	9606.ENSP00000264110	9606.ENSP00000356840	0	0	0	0	0	0.182	0.900	0.102	0.920
ATF2	SMAD4	9606.ENSP00000264110	9606.ENSP00000341551	0	0	0	0	0.097	0.285	0.900	0.453	0.960
ATF2	FOS	9606.ENSP00000264110	9606.ENSP00000306245	0	0	0	0.568	0	0.894	0.600	0.702	0.969
ATF2	SMAD3	9606.ENSP00000264110	9606.ENSP00000332973	0	0	0	0	0.062	0.285	0.900	0.700	0.977
ATF2	MAPK10	9606.ENSP00000264110	9606.ENSP00000352157	0	0	0	0	0.062	0.595	0.900	0.560	0.981
ATF2	JUNB	9606.ENSP00000264110	9606.ENSP00000303315	0	0	0	0.571	0.065	0.860	0.900	0.269	0.987
ATF2	JDP2	9606.ENSP00000264110	9606.ENSP00000267569	0	0	0	0.657	0	0.875	0.900	0.390	0.988
ATF2	CREB1	9606.ENSP00000264110	9606.ENSP00000387699	0	0	0	0	0.063	0.272	0.900	0.889	0.991
ATF2	MAPK9	9606.ENSP00000264110	9606.ENSP00000394560	0	0	0	0	0.062	0.898	0.900	0.556	0.995
ATF2	MAPK8	9606.ENSP00000264110	9606.ENSP00000378974	0	0	0	0	0.062	0.919	0.900	0.541	0.996
ATF2	JUN	9606.ENSP00000264110	9606.ENSP00000360266	0	0	0	0.576	0.065	0.984	0.900	0.989	0.999
ATF3	EGR1	9606.ENSP00000344352	9606.ENSP00000239938	0	0	0	0	0.254	0.062	0	0.716	0.784
ATF3	BATF3	9606.ENSP00000344352	9606.ENSP00000243440	0	0	0	0.747	0.062	0.681	0	0.324	0.711
ATF3	JUND	9606.ENSP00000344352	9606.ENSP00000252818	0	0	0	0	0.065	0.599	0	0.937	0.974
ATF3	ATF2	9606.ENSP00000344352	9606.ENSP00000264110	0	0	0	0.671	0	0.683	0	0.402	0.723
ATF3	STAT3	9606.ENSP00000344352	9606.ENSP00000264657	0	0	0	0	0.062	0.492	0	0.558	0.771
ATF3	JUNB	9606.ENSP00000344352	9606.ENSP00000303315	0	0	0	0	0.454	0.749	0	0.682	0.952
ATF3	FOS	9606.ENSP00000344352	9606.ENSP00000306245	0	0	0	0.764	0.854	0.271	0	0.803	0.910
ATF3	SMAD3	9606.ENSP00000344352	9606.ENSP00000332973	0	0	0	0	0	0.528	0.900	0.946	0.997
ATF3	SMAD4	9606.ENSP00000344352	9606.ENSP00000341551	0	0	0	0	0	0.062	0.900	0.835	0.983
