#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
ACTL6A	KAT2A	9606.ENSP00000397552	9606.ENSP00000225916	0	0	0	0	0.062	0.361	0.720	0.333	0.873
ACTL6A	DNMT3A	9606.ENSP00000397552	9606.ENSP00000264709	0	0	0	0	0	0	0.650	0.204	0.709
ACTL6A	RUVBL1	9606.ENSP00000397552	9606.ENSP00000318297	0	0	0	0	0.412	0.947	0.900	0.920	0.999
ACTL6A	KAT5	9606.ENSP00000397552	9606.ENSP00000340330	0	0	0	0	0.062	0.919	0.900	0.678	0.997
ACTL6A	WDR5	9606.ENSP00000397552	9606.ENSP00000351446	0	0	0	0	0.146	0.221	0.720	0.111	0.812
ACTL6A	MAX	9606.ENSP00000397552	9606.ENSP00000351490	0	0	0	0	0	0.345	0.900	0.074	0.934
ACTL6A	TRRAP	9606.ENSP00000397552	9606.ENSP00000352925	0	0	0	0	0.062	0.968	0.900	0.668	0.998
ACTL6A	EP400	9606.ENSP00000397552	9606.ENSP00000374213	0	0	0	0	0.063	0.937	0.900	0.617	0.997
ACTL6A	HDAC2	9606.ENSP00000397552	9606.ENSP00000430432	0	0	0	0	0.349	0.346	0	0.352	0.700
ACTL6A	MYC	9606.ENSP00000397552	9606.ENSP00000479618	0	0	0	0	0.075	0.622	0.900	0.897	0.995
ACTL6A	RUVBL2	9606.ENSP00000397552	9606.ENSP00000473172	0	0	0	0	0.379	0.936	0.900	0.805	0.999
AK6	MGA	9606.ENSP00000370193	9606.ENSP00000219905	0	0	0	0	0	0	0.900	0.041	0.900
AK6	KAT2A	9606.ENSP00000370193	9606.ENSP00000225916	0	0	0	0	0.065	0.923	0.900	0.303	0.994
AK6	HCFC1	9606.ENSP00000370193	9606.ENSP00000309555	0	0	0	0	0.142	0.213	0.900	0	0.926
AK6	TAF7	9606.ENSP00000370193	9606.ENSP00000312709	0	0	0	0	0.134	0.999	0.900	0.543	0.999
AK6	RUVBL1	9606.ENSP00000370193	9606.ENSP00000318297	0	0	0	0	0.071	0.281	0.900	0	0.927
AK6	WDR5	9606.ENSP00000370193	9606.ENSP00000351446	0	0	0	0	0.200	0.270	0.900	0.101	0.940
AK6	MAX	9606.ENSP00000370193	9606.ENSP00000351490	0	0	0	0	0.123	0.270	0.900	0.055	0.931
AK6	TRRAP	9606.ENSP00000370193	9606.ENSP00000352925	0	0	0	0	0.073	0.838	0.900	0.482	0.991
AK6	RNF2	9606.ENSP00000370193	9606.ENSP00000356480	0	0	0	0	0.063	0	0.900	0.101	0.908
AK6	SUPT3H	9606.ENSP00000370193	9606.ENSP00000360515	0	0	0	0	0.062	0.886	0.900	0.545	0.994
AK6	E2F6	9606.ENSP00000370193	9606.ENSP00000370936	0	0	0	0	0.062	0	0.900	0	0.902
AK6	CHD8	9606.ENSP00000370193	9606.ENSP00000382863	0	0	0	0	0.270	0.071	0.900	0.059	0.927
AK6	RUVBL2	9606.ENSP00000370193	9606.ENSP00000473172	0	0	0	0	0.067	0.281	0.900	0	0.927
AK6	TAF1	9606.ENSP00000370193	9606.ENSP00000406549	0	0	0	0	0.062	0.999	0.900	0.402	0.999
CDC25A	EP300	9606.ENSP00000303706	9606.ENSP00000263253	0	0	0	0	0.049	0	0.900	0.240	0.921
CDC25A	PIM1	9606.ENSP00000303706	9606.ENSP00000362608	0	0	0	0	0.065	0.548	0	0.408	0.728
CDC25A	MAX	9606.ENSP00000303706	9606.ENSP00000351490	0	0	0	0	0.062	0.078	0.900	0.141	0.915
